va,vb,ca,cb,n
13,8,0,3,11
13,8,0,2,2473
13,9,2,0,57
13,9,1,3,60
13,9,2,1,2441
13,9,3,1,63
13,9,3,0,2489
13,9,0,2,52
13,9,0,3,2408
13,9,1,2,2430
13,10,2,0,809
13,10,2,1,1726
13,10,1,3,763
13,10,0,2,782
13,10,1,2,1732
13,10,0,3,1701
13,10,3,0,1687
13,10,3,1,800
13,11,2,3,2496
13,11,3,2,2461
13,11,0,1,2516
13,11,1,0,2527
13,12,2,0,2072
13,12,3,0,350
13,12,3,1,2232
13,12,0,3,299
13,12,0,2,2190
13,12,1,2,305
13,12,2,1,356
13,12,1,3,2196
1,0,2,0,614
1,0,1,3,614
1,0,2,1,1897
1,0,1,2,1874
1,0,0,3,1912
1,0,0,2,617
1,0,3,1,590
1,0,3,0,1882
2,0,2,2,118
2,0,0,0,110
2,0,3,2,2319
2,0,3,3,130
2,0,1,0,2362
2,0,1,1,128
2,0,2,3,2408
2,0,0,1,2425
4,0,2,1,1917
4,0,1,3,647
4,0,2,0,620
4,0,3,0,1830
4,0,3,1,645
4,0,0,2,625
4,0,1,2,1878
4,0,0,3,1838
3,0,0,0,124
3,0,2,2,122
3,0,0,1,2442
3,0,3,2,2381
3,0,3,3,112
3,0,1,0,2355
3,0,1,1,125
3,0,2,3,2339
2,1,3,1,2232
2,1,3,0,237
2,1,2,0,2269
2,1,2,1,236
2,1,1,3,2311
2,1,0,3,211
2,1,1,2,207
2,1,0,2,2297
5,1,3,0,354
5,1,3,1,2090
5,1,0,3,329
5,1,1,2,326
5,1,0,2,2177
5,1,2,1,306
5,1,1,3,2270
5,1,2,0,2148
6,1,2,0,325
6,1,1,3,317
6,1,2,1,2235
6,1,1,2,2115
6,1,0,2,308
6,1,0,3,2174
6,1,3,1,309
6,1,3,0,2217
7,2,2,0,2321
7,2,3,0,196
7,2,3,1,2318
7,2,2,1,196
7,2,1,3,2275
7,2,1,2,189
7,2,0,3,226
7,2,0,2,2279
8,2,0,0,129
8,2,2,2,117
8,2,3,3,129
8,2,1,0,2361
8,2,0,1,2308
8,2,1,1,105
8,2,2,3,2370
8,2,3,2,2481
4,3,2,1,1171
4,3,1,3,1343
4,3,3,1,1359
4,3,3,0,1193
4,3,0,2,1332
4,3,0,3,1173
4,3,1,2,1114
4,3,2,0,1315
10,3,0,0,153
10,3,3,2,2414
10,3,2,2,119
10,3,0,1,2379
10,3,3,3,140
10,3,1,0,2352
10,3,1,1,127
10,3,2,3,2316
11,3,2,1,1088
11,3,1,3,1398
11,3,2,0,1383
11,3,1,2,1105
11,3,0,2,1406
11,3,0,3,1098
11,3,3,1,1379
11,3,3,0,1143
12,4,3,0,2144
12,4,3,1,354
12,4,2,1,2144
12,4,1,3,339
12,4,0,2,328
12,4,0,3,2149
12,4,1,2,2194
12,4,2,0,348
9,4,1,2,75
9,4,0,3,59
9,4,0,2,2462
9,4,3,0,60
9,4,3,1,2382
9,4,2,1,61
9,4,1,3,2461
9,4,2,0,2440
6,5,1,0,2485
6,5,0,1,2563
6,5,2,3,2439
6,5,3,2,2513
11,5,2,0,2198
11,5,0,3,357
11,5,1,2,348
11,5,0,2,2223
11,5,2,1,313
11,5,1,3,2144
11,5,3,0,327
11,5,3,1,2090
12,5,0,1,2459
12,5,2,3,2556
12,5,1,0,2511
12,5,3,2,2474
9,6,0,0,121
9,6,2,2,115
9,6,1,1,120
9,6,2,3,2391
9,6,3,2,2448
9,6,3,3,118
9,6,1,0,2303
9,6,0,1,2384
10,6,0,0,111
10,6,2,2,116
10,6,0,1,2440
10,6,1,1,134
10,6,2,3,2335
10,6,3,2,2367
10,6,3,3,134
10,6,1,0,2363
8,7,2,0,13
8,7,3,1,11
8,7,3,0,2446
8,7,1,3,10
8,7,2,1,2492
8,7,0,2,11
8,7,1,2,2495
8,7,0,3,2522
10,7,2,0,1688
10,7,1,3,1695
10,7,2,1,798
10,7,3,0,770
10,7,3,1,1721
10,7,0,3,805
10,7,1,2,803
10,7,0,2,1720
12,7,2,0,310
12,7,1,3,330
12,7,2,1,2129
12,7,0,2,311
12,7,1,2,2236
12,7,0,3,2196
12,7,3,0,2116
12,7,3,1,372
9,8,0,0,125
9,8,2,2,114
9,8,1,1,136
9,8,2,3,2332
9,8,0,1,2400
9,8,3,3,122
9,8,1,0,2343
9,8,3,2,2428
11,8,2,0,11
11,8,0,2,14
11,8,1,2,2501
11,8,0,3,2467
11,8,1,3,10
11,8,2,1,2483
11,8,3,1,13
11,8,3,0,2501
0,13,2,0,1812
0,13,2,1,633
0,13,1,3,1867
0,13,0,3,648
0,13,1,2,642
0,13,0,2,1898
0,13,3,0,644
0,13,3,1,1856
1,13,2,3,2560
1,13,0,1,2442
1,13,1,0,2513
1,13,3,2,2485
2,13,1,3,220
2,13,2,1,2355
