va,vb,ca,cb,n
0,3,2,1,32
0,3,3,1,16
0,3,0,2,7
0,3,1,2,39
0,3,2,2,24
0,3,3,2,179
0,3,0,3,34
0,3,1,3,20
0,3,2,3,200
0,3,3,3,15
1,2,0,0,36
1,2,1,0,17
1,2,2,0,176
1,2,3,0,31
1,2,0,1,19
1,2,1,1,38
1,2,2,1,34
1,2,3,1,175
1,2,0,2,152
1,2,1,2,20
1,2,2,2,28
1,2,3,2,18
1,2,0,3,22
1,2,1,3,224
1,2,2,3,15
1,2,3,3,19
1,5,0,0,31
1,5,1,0,15
1,5,2,0,170
1,5,3,0,42
1,5,0,1,13
1,5,1,1,47
1,5,2,1,37
1,5,3,1,161
1,5,0,2,120
1,5,1,2,88
1,5,2,2,17
1,5,3,2,10
1,5,0,3,69
1,5,1,3,161
1,5,2,3,12
1,5,3,3,31
1,6,0,0,15
1,6,1,0,38
1,6,2,0,47
1,6,3,0,183
1,6,0,1,35
1,6,1,1,10
1,6,2,1,149
1,6,3,1,24
1,6,0,2,63
1,6,1,2,174
1,6,2,2,6
1,6,3,2,31
1,6,0,3,108
1,6,1,3,91
1,6,2,3,33
1,6,3,3,17
2,7,0,0,29
2,7,1,0,14
2,7,2,0,135
2,7,3,0,46
2,7,0,1,21
2,7,1,1,29
2,7,2,1,62
2,7,3,1,189
2,7,0,2,181
2,7,1,2,22
2,7,2,2,24
2,7,3,2,11
2,7,0,3,26
2,7,1,3,188
2,7,2,3,19
2,7,3,3,28
2,8,0,0,38
2,8,1,0,220
2,8,2,0,24
2,8,3,0,30
2,8,0,1,178
2,8,1,1,16
2,8,2,1,23
2,8,3,1,11
2,8,0,2,15
2,8,1,2,41
2,8,2,2,53
2,8,3,2,166
2,8,0,3,25
2,8,1,3,14
2,8,2,3,136
2,8,3,3,34
3,4,0,0,24
3,4,1,0,21
3,4,2,0,74
3,4,3,0,133
3,4,0,1,30
3,4,1,1,17
3,4,2,1,155
3,4,3,1,96
3,4,0,2,105
3,4,1,2,92
3,4,2,2,12
3,4,3,2,16
3,4,0,3,107
3,4,1,3,101
3,4,2,3,28
3,4,3,3,13
3,10,0,0,26
3,10,1,0,209
3,10,2,0,19
3,10,3,0,29
3,10,0,1,178
3,10,1,1,25
3,10,2,1,36
3,10,3,1,14
3,10,0,2,14
3,10,1,2,23
3,10,2,2,24
3,10,3,2,189
3,10,0,3,32
3,10,1,3,8
3,10,2,3,173
3,10,3,3,25
3,11,0,0,26
3,11,1,0,25
3,11,2,0,71
3,11,3,0,125
3,11,0,1,34
3,11,1,1,22
3,11,2,1,125
3,11,3,1,96
3,11,0,2,112
3,11,1,2,78
3,11,2,2,18
3,11,3,2,34
3,11,0,3,94
3,11,1,3,117
3,11,2,3,27
3,11,3,3,20
4,12,0,0,20
4,12,1,0,27
4,12,2,0,41
4,12,3,0,179
4,12,0,1,28
4,12,1,1,13
4,12,2,1,166
4,12,3,1,38
4,12,0,2,66
4,12,1,2,164
4,12,2,2,9
4,12,3,2,50
4,12,0,3,114
4,12,1,3,73
4,12,2,3,28
4,12,3,3,8
4,9,0,0,34
4,9,1,0,25
4,9,2,0,178
4,9,3,0,26
4,9,0,1,12
4,9,1,1,26
4,9,2,1,20
4,9,3,1,184
4,9,0,2,149
4,9,1,2,59
4,9,2,2,22
4,9,3,2,13
4,9,0,3,34
4,9,1,3,193
4,9,2,3,8
4,9,3,3,41
5,6,0,0,23
5,6,1,0,206
5,6,2,0,4
5,6,3,0,39
5,6,0,1,170
5,6,1,1,13
5,6,2,1,30
5,6,3,1,12
5,6,0,2,7
5,6,1,2,45
5,6,2,2,34
5,6,3,2,204
5,6,0,3,36
5,6,1,3,8
5,6,2,3,162
5,6,3,3,31
5,11,0,0,20
5,11,1,0,17
5,11,2,0,144
5,11,3,0,19
5,11,0,1,7
5,11,1,1,41
5,11,2,1,37
5,11,3,1,209
5,11,0,2,167
5,11,1,2,43
5,11,2,2,31
5,11,3,2,12
5,11,0,3,53
5,11,1,3,174
5,11,2,3,11
5,11,3,3,39
5,12,0,0,29
5,12,1,0,178
5,12,2,0,10
5,12,3,0,49
5,12,0,1,180
5,12,1,1,12
5,12,2,1,38
5,12,3,1,9
5,12,0,2,7
5,12,1,2,40
5,12,2,2,38
5,12,3,2,196
5,12,0,3,32
5,12,1,3,22
5,12,2,3,148
5,12,3,3,36
6,9,0,0,22
6,9,1,0,171
6,9,2,0,15
6,9,3,0,43
6,9,0,1,195
6,9,1,1,23
6,9,2,1,32
6,9,3,1,9
6,9,0,2,22
6,9,1,2,28
6,9,2,2,31
6,9,3,2,160
6,9,0,3,51
6,9,1,3,7
6,9,2,3,193
6,9,3,3,22
6,10,0,0,41
6,10,1,0,188
6,10,2,0,11
6,10,3,0,40
6,10,0,1,210
6,10,1,1,18
6,10,2,1,39
6,10,3,1,12
6,10,0,2,14
6,10,1,2,26
6,10,2,2,61
6,10,3,2,138
6,10,0,3,40
6,10,1,3,7
6,10,2,3,154
6,10,3,3,25
7,8,0,0,16
7,8,1,0,42
7,8,2,0,18
7,8,3,0,205
7,8,0,1,37
7,8,1,1,8
7,8,2,1,177
7,8,3,1,17
7,8,0,2,32
7,8,1,2,224
7,8,2,2,13
7,8,3,2,32
7,8,0,3,143
7,8,1,3,18
7,8,2,3,25
7,8,3,3,17
7,10,0,0,32
7,10,1,0,28
7,10,2,0,146
7,10,3,0,75
7,10,0,1,16
7,10,1,1,37
7,10,2,1,78
7,10,3,1,122
7,10,0,2,86
7,10,1,2,136
7,10,2,2,28
7,10,3,2,14
7,10,0,3,73
7,10,1,3,93
7,10,2,3,19
7,10,3,3,41
7,12,0,0,23
7,12,1,0,50
7,12,2,0,51
7,12,3,0,153
7,12,0,1,29
7,12,1,1,16
7,12,2,1,151
7,12,3,1,37
7,12,0,2,62
7,12,1,2,179
7,12,2,2,24
7,12,3,2,43
7,12,0,3,113
7,12,1,3,63
7,12,2,3,22
7,12,3,3,8
8,9,0,0,27
8,9,1,0,161
8,9,2,0,17
8,9,3,0,32
8,9,0,1,199
8,9,1,1,17
8,9,2,1,25
8,9,3,1,14
8,9,0,2,16
8,9,1,2,28
8,9,2,2,63
8,9,3,2,127
8,9,0,3,41
8,9,1,3,8
8,9,2,3,218
8,9,3,3,31
8,11,0,0,16
8,11,1,0,35
8,11,2,0,36
8,11,3,0,136
8,11,0,1,45
8,11,1,1,10
8,11,2,1,228
8,11,3,1,27
8,11,0,2,28
8,11,1,2,161
8,11,2,2,13
8,11,3,2,22
8,11,0,3,210
8,11,1,3,11
8,11,2,3,28
8,11,3,3,18
13,0,0,0,22
13,0,1,0,11
13,0,2,0,158
13,0,3,0,51
13,0,0,1,31
13,0,1,1,51
13,0,2,1,86
13,0,3,1,145
13,0,0,2,194
13,0,1,2,31
13,0,2,2,24
13,0,3,2,17
13,0,0,3,37
13,0,1,3,130
13,0,2,3,19
13,0,3,3,17
13,1,0,0,38
13,1,1,0,149
13,1,2,0,15
13,1,3,0,19
13,1,0,1,230
13,1,1,1,20
13,1,2,1,40
13,1,3,1,6
13,1,0,2,13
13,1,1,2,36
13,1,2,2,27
13,1,3,2,171
13,1,0,3,34
13,1,1,3,13
13,1,2,3,190
13,1,3,3,23
13,2,0,0,22
13,2,1,0,38
13,2,2,0,37
13,2,3,0,162
13,2,0,1,37
13,2,1,1,11
13,2,2,1,210
13,2,3,1,31
13,2,0,2,22
13,2,1,2,153
13,2,2,2,20
13,2,3,2,17
13,2,0,3,216
13,2,1,3,10
13,2,2,3,34
13,2,3,3,4
13,3,0,0,39
13,3,1,0,31
13,3,2,0,120
13,3,3,0,109
13,3,0,1,15
13,3,1,1,18
13,3,2,1,124
13,3,3,1,72
13,3,0,2,69
13,3,1,2,92
13,3,2,2,34
13,3,3,2,16
13,3,0,3,183
13,3,1,3,61
13,3,2,3,18
13,3,3,3,23
13,4,0,0,33
13,4,1,0,154
13,4,2,0,11
13,4,3,0,27
13,4,0,1,239
13,4,1,1,19
13,4,2,1,36
13,4,3,1,7
13,4,0,2,10
13,4,1,2,48
13,4,2,2,29
13,4,3,2,164
13,4,0,3,33
13,4,1,3,12
13,4,2,3,190
13,4,3,3,12
13,5,0,0,20
13,5,1,0,40
13,5,2,0,52
13,5,3,0,149
13,5,0,1,51
13,5,1,1,22
13,5,2,1,177
13,5,3,1,33
13,5,0,2,77
13,5,1,2,101
13,5,2,2,15
13,5,3,2,19
13,5,0,3,164
13,5,1,3,60
13,5,2,3,34
13,5,3,3,10
13,6,0,0,48
13,6,1,0,15
13,6,2,0,172
13,6,3,0,36
13,6,0,1,17
13,6,1,1,25
13,6,2,1,48
13,6,3,1,170
13,6,0,2,178
13,6,1,2,66
13,6,2,2,37
13,6,3,2,10
13,6,0,3,82
13,6,1,3,96
13,6,2,3,11
13,6,3,3,13
13,7,0,0,44
13,7,1,0,156
13,7,2,0,11
13,7,3,0,34
13,7,0,1,219
13,7,1,1,24
13,7,2,1,35
13,7,3,1,10
13,7,0,2,16
13,7,1,2,33
13,7,2,2,24
13,7,3,2,171
13,7,0,3,31
13,7,1,3,14
13,7,2,3,193
13,7,3,3,9
13,8,0,0,40
13,8,1,0,12
13,8,2,0,199
13,8,3,0,26
13,8,0,1,13
13,8,1,1,34
13,8,2,1,19
13,8,3,1,163
13,8,0,2,233
13,8,1,2,20
13,8,2,2,39
13,8,3,2,11
13,8,0,3,25
13,8,1,3,136
13,8,2,3,22
13,8,3,3,32
13,9,0,0,15
13,9,1,0,35
13,9,2,0,31
13,9,3,0,170
13,9,0,1,29
13,9,1,1,20
13,9,2,1,195
13,9,3,1,19
13,9,0,2,45
13,9,1,2,147
13,9,2,2,11
13,9,3,2,28
13,9,0,3,203
13,9,1,3,26
13,9,2,3,38
13,9,3,3,12
13,10,0,0,31
13,10,1,0,33
13,10,2,0,101
13,10,3,0,128
13,10,0,1,36
13,10,1,1,19
13,10,2,1,132
13,10,3,1,63
13,10,0,2,145
13,10,1,2,69
13,10,2,2,18
13,10,3,2,21
13,10,0,3,90
13,10,1,3,76
13,10,2,3,46
13,10,3,3,16
13,11,0,0,26
13,11,1,0,160
13,11,2,0,14
13,11,3,0,30
13,11,0,1,226
13,11,1,1,12
13,11,2,1,39
13,11,3,1,11
13,11,0,2,17
13,11,1,2,31
13,11,2,2,30
13,11,3,2,170
13,11,0,3,37
13,11,1,3,17
13,11,2,3,198
13,11,3,3,6
13,12,0,0,32
13,12,1,0,17
13,12,2,0,186
13,12,3,0,21
13,12,0,1,20
13,12,1,1,30
13,12,2,1,38
13,12,3,1,176
13,12,0,2,156
13,12,1,2,62
13,12,2,2,37
13,12,3,2,13
13,12,0,3,92
13,12,1,3,99
13,12,2,3,18
13,12,3,3,27
1,0,0,0,24
1,0,1,0,22
1,0,2,0,67
1,0,3,0,156
1,0,0,1,35
1,0,1,1,30
1,0,2,1,127
1,0,3,1,73
1,0,0,2,35
1,0,1,2,202
1,0,2,2,18
1,0,3,2,26
1,0,0,3,141
1,0,1,3,23
1,0,2,3,18
1,0,3,3,27
2,0,0,0,25
2,0,1,0,213
2,0,2,0,14
2,0,3,0,30
2,0,0,1,175
2,0,1,1,18
2,0,2,1,25
2,0,3,1,17
2,0,0,2,22
2,0,1,2,28
2,0,2,2,22
2,0,3,2,211
2,0,0,3,35
2,0,1,3,20
2,0,2,3,150
2,0,3,3,19
4,0,0,0,25
4,0,1,0,35
4,0,2,0,63
4,0,3,0,132
4,0,0,1,31
4,0,1,1,42
4,0,2,1,136
4,0,3,1,50
4,0,0,2,33
4,0,1,2,210
4,0,2,2,24
4,0,3,2,26
4,0,0,3,131
4,0,1,3,35
4,0,2,3,19
4,0,3,3,32
3,0,0,0,34
3,0,1,0,180
3,0,2,0,17
3,0,3,0,30
3,0,0,1,184
3,0,1,1,15
3,0,2,1,32
3,0,3,1,15
3,0,0,2,20
3,0,1,2,24
3,0,2,2,63
3,0,3,2,184
3,0,0,3,42
3,0,1,3,10
3,0,2,3,140
3,0,3,3,34
2,1,0,0,37
2,1,1,0,13
2,1,2,0,123
2,1,3,0,61
2,1,0,1,18
2,1,1,1,28
2,1,2,1,59
2,1,3,1,194
2,1,0,2,150
2,1,1,2,24
2,1,2,2,33
2,1,3,2,21
2,1,0,3,34
2,1,1,3,197
2,1,2,3,16
2,1,3,3,16
5,1,0,0,27
5,1,1,0,16
5,1,2,0,169
5,1,3,0,20
5,1,0,1,10
5,1,1,1,43
5,1,2,1,29
5,1,3,1,203
5,1,0,2,183
5,1,1,2,41
5,1,2,2,34
5,1,3,2,4
5,1,0,3,46
5,1,1,3,160
5,1,2,3,11
5,1,3,3,28
6,1,0,0,18
6,1,1,0,35
6,1,2,0,38
6,1,3,0,150
6,1,0,1,43
6,1,1,1,10
6,1,2,1,213
6,1,3,1,31
6,1,0,2,50
6,1,1,2,158
6,1,2,2,16
6,1,3,2,23
6,1,0,3,168
6,1,1,3,34
6,1,2,3,25
6,1,3,3,12
7,2,0,0,38
7,2,1,0,19
7,2,2,0,154
7,2,3,0,36
7,2,0,1,15
7,2,1,1,29
7,2,2,1,47
7,2,3,1,169
7,2,0,2,181
7,2,1,2,19
7,2,2,2,26
7,2,3,2,21
7,2,0,3,26
7,2,1,3,206
7,2,2,3,17
7,2,3,3,21
8,2,0,0,36
8,2,1,0,156
8,2,2,0,24
8,2,3,0,21
8,2,0,1,194
8,2,1,1,22
8,2,2,1,30
8,2,3,1,20
8,2,0,2,16
8,2,1,2,18
8,2,2,2,26
8,2,3,2,171
8,2,0,3,25
8,2,1,3,22
8,2,2,3,224
8,2,3,3,19
4,3,0,0,31
4,3,1,0,33
4,3,2,0,102
4,3,3,0,125
4,3,0,1,26
4,3,1,1,27
4,3,2,1,90
4,3,3,1,99
4,3,0,2,119
4,3,1,2,64
4,3,2,2,19
4,3,3,2,30
4,3,0,3,62
4,3,1,3,146
4,3,2,3,27
4,3,3,3,24
10,3,0,0,34
10,3,1,0,199
10,3,2,0,12
10,3,3,0,34
10,3,0,1,190
10,3,1,1,20
10,3,2,1,34
10,3,3,1,22
10,3,0,2,16
10,3,1,2,30
10,3,2,2,39
10,3,3,2,156
10,3,0,3,26
10,3,1,3,9
10,3,2,3,143
10,3,3,3,60
11,3,0,0,25
11,3,1,0,27
11,3,2,0,99
11,3,3,0,91
11,3,0,1,27
11,3,1,1,28
11,3,2,1,92
11,3,3,1,129
11,3,0,2,120
11,3,1,2,58
11,3,2,2,11
11,3,3,2,45
11,3,0,3,55
11,3,1,3,179
11,3,2,3,23
11,3,3,3,15
12,4,0,0,13
12,4,1,0,33
12,4,2,0,27
12,4,3,0,161
12,4,0,1,42
12,4,1,1,13
12,4,2,1,223
12,4,3,1,32
12,4,0,2,35
12,4,1,2,136
12,4,2,2,16
12,4,3,2,26
12,4,0,3,182
12,4,1,3,51
12,4,2,3,24
12,4,3,3,10
9,4,0,0,35
9,4,1,0,22
9,4,2,0,171
9,4,3,0,19
9,4,0,1,8
9,4,1,1,43
9,4,2,1,20
9,4,3,1,229
9,4,0,2,179
9,4,1,2,24
9,4,2,2,34
9,4,3,2,10
9,4,0,3,28
9,4,1,3,161
9,4,2,3,14
9,4,3,3,27
6,5,0,0,34
6,5,1,0,184
6,5,2,0,9
6,5,3,0,27
6,5,0,1,188
6,5,1,1,17
6,5,2,1,31
6,5,3,1,12
6,5,0,2,16
6,5,1,2,30
6,5,2,2,26
6,5,3,2,172
6,5,0,3,45
6,5,1,3,6
6,5,2,3,209
6,5,3,3,18
11,5,0,0,38
11,5,1,0,19
11,5,2,0,164
11,5,3,0,36
11,5,0,1,15
11,5,1,1,47
11,5,2,1,36
11,5,3,1,194
11,5,0,2,116
11,5,1,2,83
11,5,2,2,15
11,5,3,2,13
11,5,0,3,70
11,5,1,3,125
11,5,2,3,10
11,5,3,3,43
12,5,0,0,21
12,5,1,0,173
12,5,2,0,11
12,5,3,0,46
12,5,0,1,202
12,5,1,1,23
12,5,2,1,31
12,5,3,1,5
12,5,0,2,17
12,5,1,2,23
12,5,2,2,46
12,5,3,2,154
12,5,0,3,38
12,5,1,3,12
12,5,2,3,200
12,5,3,3,22
9,6,0,0,23
9,6,1,0,186
9,6,2,0,19
9,6,3,0,28
9,6,0,1,176
9,6,1,1,26
9,6,2,1,39
9,6,3,1,5
9,6,0,2,14
9,6,1,2,41
9,6,2,2,52
9,6,3,2,184
