va,vb,ca,cb,n
7,12,2,0,487
7,12,2,1,75
7,12,1,3,453
7,12,2,3,1944
7,12,3,0,64
7,12,3,1,456
7,12,3,2,1964
8,9,2,1,29
8,9,1,3,367
8,9,1,2,30
8,9,0,3,28
8,9,0,2,342
8,9,2,0,369
8,9,2,3,2129
8,9,3,0,34
8,9,3,1,336
8,9,3,2,2076
8,9,0,1,2187
8,9,1,0,2073
8,11,2,3,415
8,11,1,0,428
8,11,2,0,324
8,11,0,2,336
8,11,0,3,1737
8,11,1,2,1778
8,11,1,3,407
8,11,2,1,1674
8,11,3,2,463
8,11,3,1,347
8,11,3,0,1689
8,11,0,1,402
13,0,0,1,1
13,0,2,3,3
13,0,1,0,3
13,0,3,2,1
13,0,3,0,11
13,0,3,1,2532
13,0,2,0,2426
13,0,1,2,9
13,0,0,3,12
13,0,0,2,2456
13,0,2,1,6
13,0,1,3,2540
13,1,2,0,17
13,1,1,0,834
13,1,1,3,6
13,1,2,1,1658
13,1,0,1,832
13,1,3,1,8
13,1,3,2,833
13,1,3,0,1711
13,1,2,3,833
13,1,0,2,10
13,1,1,2,1588
13,1,0,3,1670
13,2,0,1,1729
13,2,1,0,1646
13,2,2,3,1687
13,2,1,2,817
13,2,0,3,759
13,2,3,0,819
13,2,3,2,1719
13,2,2,1,824
13,3,2,0,4
13,3,2,3,73
13,3,0,1,67
13,3,1,0,77
13,3,3,1,7
13,3,3,2,85
13,3,3,0,2367
13,3,0,2,9
13,3,1,2,2458
13,3,0,3,2354
13,3,1,3,5
13,3,2,1,2494
13,4,2,0,3
13,4,1,3,4
13,4,2,1,77
13,4,1,2,68
13,4,0,3,85
13,4,0,2,8
13,4,0,1,2479
13,4,1,0,2349
13,4,2,3,2382
13,4,3,1,5
13,4,3,0,69
13,4,3,2,2471
13,5,2,3,703
13,5,0,1,784
13,5,1,2,550
13,5,0,3,518
13,5,0,2,1252
13,5,2,1,536
13,5,1,3,1150
13,5,3,0,535
13,5,3,2,768
13,5,3,1,1150
13,5,1,0,829
13,5,2,0,1225
13,6,0,1,898
13,6,2,0,1275
13,6,3,0,329
13,6,3,1,1259
13,6,3,2,899
13,6,1,0,918
13,6,0,3,341
13,6,1,2,331
13,6,0,2,1275
13,6,1,3,1222
13,6,2,1,319
13,6,2,3,934
13,7,2,3,464
13,7,1,0,505
13,7,0,1,484
13,7,2,0,1023
13,7,3,1,1077
13,7,3,0,988
13,7,3,2,436
13,7,1,3,1097
13,7,2,1,937
13,7,0,2,1053
13,7,0,3,933
13,7,1,2,1003
13,8,0,1,367
13,8,1,0,362
13,8,2,3,370
13,8,2,0,1417
13,8,2,1,675
13,8,1,3,1382
13,8,1,2,717
13,8,0,3,760
13,8,0,2,1431
13,8,3,2,357
13,8,3,0,729
13,8,3,1,1433
13,9,0,1,36
13,9,2,3,37
13,9,1,0,37
13,9,2,0,667
13,9,0,2,693
13,9,1,2,1725
13,9,0,3,1789
13,9,2,1,1804
13,9,1,3,683
13,9,3,2,33
13,9,3,1,677
13,9,3,0,1819
13,10,2,1,18
13,10,1,3,936
13,10,2,0,984
13,10,0,1,1514
13,10,3,0,22
13,10,3,2,1500
13,10,3,1,952
13,10,2,3,1495
13,10,1,2,33
13,10,0,3,42
13,10,0,2,975
13,10,1,0,1529
13,11,1,2,90
13,11,0,3,84
13,11,0,2,701
13,11,2,0,742
13,11,1,0,1687
13,11,2,3,1762
13,11,3,0,68
13,11,3,1,701
13,11,3,2,1703
13,11,2,1,73
13,11,1,3,680
13,11,0,1,1709
13,12,0,1,78
13,12,1,0,75
13,12,2,3,83
13,12,2,0,993
13,12,1,2,1503
13,12,0,2,931
13,12,0,3,1492
13,12,3,2,70
13,12,3,1,937
13,12,3,0,1474
13,12,1,3,909
13,12,2,1,1455
1,0,2,1,852
1,0,1,0,1684
1,0,0,1,1650
1,0,2,3,1713
1,0,3,0,789
1,0,3,2,1673
1,0,0,3,835
1,0,1,2,804
2,0,2,0,23
2,0,2,3,761
2,0,1,3,13
2,0,2,1,1675
2,0,0,2,20
2,0,1,2,1607
2,0,0,3,1671
2,0,3,1,9
2,0,3,0,1751
2,0,3,2,805
2,0,0,1,797
2,0,1,0,868
4,0,2,0,5
4,0,1,0,67
4,0,2,3,79
4,0,1,3,11
4,0,2,1,2368
4,0,3,1,8
4,0,3,2,79
4,0,3,0,2496
4,0,0,1,78
4,0,0,2,12
4,0,0,3,2430
4,0,1,2,2367
3,0,2,0,6
3,0,1,3,11
3,0,2,1,83
3,0,0,2,11
3,0,1,2,60
3,0,0,3,82
3,0,1,0,2458
3,0,3,1,8
3,0,3,0,73
3,0,3,2,2465
3,0,2,3,2326
3,0,0,1,2417
2,1,2,3,6
2,1,0,1,3
2,1,1,0,4
2,1,2,1,10
2,1,1,3,2491
2,1,1,2,9
2,1,0,3,7
2,1,0,2,2465
2,1,3,0,16
2,1,3,1,2541
2,1,2,0,2448
5,1,2,0,1299
5,1,2,3,930
5,1,2,1,329
5,1,1,3,1228
5,1,1,0,960
5,1,0,1,876
5,1,0,3,354
5,1,1,2,317
5,1,0,2,1251
5,1,3,0,326
5,1,3,2,958
5,1,3,1,1172
6,1,2,3,798
6,1,0,1,742
6,1,2,0,1229
6,1,1,0,764
6,1,3,0,471
6,1,3,1,1276
6,1,3,2,754
6,1,1,2,502
6,1,0,3,459
6,1,0,2,1281
6,1,1,3,1214
6,1,2,1,510
7,2,2,3,338
7,2,1,0,365
7,2,0,1,351
7,2,2,0,1390
7,2,3,2,355
7,2,3,0,690
7,2,3,1,1489
7,2,2,1,741
7,2,1,3,1444
7,2,0,3,749
7,2,1,2,738
7,2,0,2,1350
8,2,1,0,472
8,2,0,1,444
8,2,2,3,463
8,2,3,2,483
8,2,3,0,969
8,2,3,1,1093
8,2,2,1,931
8,2,1,3,1123
8,2,1,2,990
8,2,0,3,954
8,2,0,2,1047
8,2,2,0,1031
4,3,0,1,4
4,3,1,0,3
4,3,2,3,4
4,3,2,1,10
4,3,1,3,2507
4,3,0,3,12
4,3,1,2,6
4,3,0,2,2528
4,3,2,0,2471
4,3,3,2,2
4,3,3,0,9
4,3,3,1,2444
10,3,2,3,906
10,3,0,1,939
10,3,1,0,889
10,3,2,0,1605
10,3,3,0,47
10,3,3,2,882
10,3,3,1,1491
10,3,0,3,66
10,3,1,2,47
10,3,0,2,1584
10,3,2,1,46
10,3,1,3,1498
11,3,0,1,714
11,3,1,0,729
11,3,2,3,703
11,3,2,0,1723
11,3,2,1,3
11,3,1,3,1764
11,3,3,0,6
11,3,3,2,736
11,3,3,1,1806
11,3,1,2,4
11,3,0,3,4
11,3,0,2,1808
12,4,2,3,9
12,4,0,1,8
12,4,1,0,9
12,4,2,0,1517
12,4,1,2,935
12,4,0,2,1598
12,4,0,3,953
12,4,3,2,10
12,4,3,0,990
12,4,3,1,1566
12,4,2,1,941
12,4,1,3,1464
9,4,1,0,43
9,4,0,1,39
9,4,2,3,54
9,4,2,1,686
9,4,1,3,1750
9,4,3,2,38
9,4,3,0,686
9,4,3,1,1788
9,4,2,0,1697
9,4,1,2,665
9,4,0,2,1860
9,4,0,3,694
6,5,2,0,14
6,5,2,3,844
6,5,0,2,10
6,5,1,2,1685
6,5,0,3,1664
6,5,1,0,787
6,5,1,3,15
6,5,2,1,1625
6,5,0,1,837
6,5,3,1,13
6,5,3,2,867
6,5,3,0,1639
11,5,0,1,31
11,5,1,0,37
11,5,2,3,28
11,5,0,2,558
11,5,0,3,1900
11,5,1,2,1896
11,5,1,3,507
11,5,2,1,1908
11,5,2,0,574
11,5,3,2,33
11,5,3,0,1980
11,5,3,1,548
12,5,0,1,1611
12,5,2,0,314
12,5,1,2,543
12,5,0,2,290
12,5,0,3,526
12,5,1,3,319
12,5,2,1,553
12,5,1,0,1625
12,5,3,2,1666
12,5,3,1,309
12,5,3,0,553
12,5,2,3,1691
9,6,2,0,532
9,6,0,1,1584
9,6,2,3,1538
9,6,3,2,1517
9,6,3,0,399
9,6,3,1,578
9,6,0,3,406
9,6,1,2,416
9,6,0,2,557
9,6,1,0,1516
9,6,2,1,404
9,6,1,3,553
10,6,1,0,58
10,6,0,1,67
10,6,2,0,312
10,6,3,2,45
10,6,3,1,298
10,6,3,0,2114
10,6,2,3,63
10,6,1,3,336
10,6,2,1,2142
10,6,0,2,305
10,6,0,3,2148
10,6,1,2,2112
8,7,2,1,862
8,7,2,3,1727
8,7,0,3,822
8,7,1,2,816
8,7,3,1,1
8,7,3,0,847
8,7,3,2,1690
8,7,0,1,1587
8,7,1,0,1648
10,7,0,1,520
10,7,1,0,483
10,7,2,0,482
10,7,2,3,477
10,7,3,1,459
10,7,3,2,535
10,7,3,0,1492
10,7,0,2,468
10,7,0,3,1556
10,7,1,2,1498
10,7,1,3,482
10,7,2,1,1548
12,7,3,1,470
12,7,3,0,66
12,7,3,2,2016
12,7,2,0,452
12,7,2,1,66
12,7,1,3,483
12,7,1,0,2038
12,7,2,3,1964
12,7,1,2,57
12,7,0,2,445
12,7,0,3,55
12,7,0,1,1888
9,8,1,2,31
9,8,0,3,39
9,8,0,2,362
9,8,2,1,21
9,8,1,3,350
9,8,2,0,373
9,8,3,1,357
9,8,3,0,24
9,8,3,2,2177
9,8,0,1,2093
9,8,1,0,2046
9,8,2,3,2127
11,8,1,0,421
11,8,2,3,440
11,8,2,0,362
11,8,0,1,413
11,8,0,2,368
11,8,0,3,1718
11,8,1,2,1821
11,8,1,3,340
11,8,2,1,1604
11,8,3,1,354
11,8,3,2,427
11,8,3,0,1732
0,13,0,1,4
0,13,2,3,1
0,13,1,0,5
0,13,3,0,14
0,13,3,2,3
0,13,3,1,2493
0,13,2,1,10
0,13,1,3,2492
0,13,0,3,15
0,13,1,2,8
0,13,0,2,2527
0,13,2,0,2428
1,13,2,0,11
1,13,0,1,809
1,13,1,0,827
1,13,2,3,833
1,13,1,3,24
1,13,2,1,1687
1,13,3,1,11
1,13,3,2,780
1,13,3,0,1642
1,13,0,2,17
1,13,0,3,1629
1,13,1,2,1730
2,13,3,0,837
2,13,3,2,1607
2,13,1,0,1645
2,13,2,3,1677
2,13,2,1,842
2,13,1,2,835
2,13,0,3,835
2,13,0,1,1722
3,13,2,3,79
3,13,2,0,8
3,13,1,0,81
3,13,0,1,83
3,13,1,3,9
3,13,2,1,2419
3,13,0,2,10
3,13,0,3,2335
3,13,1,2,2410
3,13,3,1,4
3,13,3,2,81
3,13,3,0,2481
4,13,2,0,8
4,13,1,3,6
4,13,2,1,64
4,13,0,2,2
4,13,0,3,60
4,13,1,2,75
4,13,2,3,2442
4,13,3,1,8
4,13,3,0,65
4,13,3,2,2438
4,13,0,1,2433
4,13,1,0,2399
5,13,1,3,1239
5,13,2,1,467
5,13,2,3,732
5,13,2,0,1251
5,13,1,0,802
5,13,0,1,755
5,13,3,1,1231
5,13,3,0,492
5,13,3,2,763
5,13,0,3,552
5,13,0,2,1170
5,13,1,2,546
6,13,2,3,873
6,13,2,0,1300
6,13,0,1,963
6,13,3,0,338
6,13,3,1,1266
6,13,3,2,911
6,13,1,0,899
6,13,2,1,316
6,13,1,3,1180
6,13,0,3,355
6,13,0,2,1251
6,13,1,2,348
7,13,0,1,465
7,13,2,3,465
7,13,1,0,467
7,13,2,1,958
7,13,1,3,1064
7,13,2,0,1068
7,13,3,2,470
7,13,3,1,1075
7,13,3,0,956
7,13,0,2,1015
7,13,0,3,990
7,13,1,2,1007
8,13,2,3,339
8,13,1,0,335
8,13,2,0,1465
8,13,0,1,353
8,13,3,1,1475
8,13,3,2,340
8,13,3,0,729
8,13,2,1,757
8,13,1,3,1438
8,13,0,2,1398
8,13,0,3,660
8,13,1,2,711
9,13,1,0,29
9,13,2,3,27
9,13,0,1,29
9,13,2,0,737
9,13,2,1,1725
9,13,1,3,705
9,13,3,1,728
9,13,3,2,35
9,13,3,0,1720
9,13,0,3,1751
9,13,0,2,727
9,13,1,2,1787
10,13,1,0,1589
10,13,3,0,32
10,13,3,1,923
10,13,3,2,1510
10,13,1,3,932
10,13,2,1,31
10,13,2,3,1504
10,13,1,2,26
10,13,0,3,31
10,13,0,2,951
10,13,0,1,1547
10,13,2,0,924
11,13,2,0,720
11,13,1,2,68
11,13,0,2,739
11,13,0,3,73
11,13,1,0,1738
11,13,3,0,77
11,13,3,1,670
11,13,3,2,1697
11,13,2,3,1738
11,13,2,1,72
11,13,1,3,671
11,13,0,1,1737
12,13,1,0,81
12,13,0,1,55
12,13,2,3,73
12,13,2,1,1476
12,13,1,3,982
12,13,3,2,73
12,13,3,1,943
12,13,3,0,1487
12,13,2,0,937
12,13,0,3,1484
12,13,1,2,1497
12,13,0,2,912
