va,vb,noise_factor,obs_value,obs_var,extrapolated_value
0,0,1,1.0,0.0,1.0000000000000002
0,0,2,1.0,0.0,1.0000000000000002
0,0,3,1.0,0.0,1.0000000000000002
0,0,4,1.0,0.0,1.0000000000000002
0,0,5,1.0,0.0,1.0000000000000002
0,1,1,0.0,0.12498283386230469,0.0
0,1,2,0.0,0.12478971481323242,0.0
0,1,3,0.0,0.12496137619018555,0.0
0,1,4,0.0,0.12498283386230469,0.0
0,1,5,0.0,0.12490653991699219,0.0
0,2,1,0.0,0.0,0.0
0,2,2,0.0,0.0,0.0
0,2,3,0.0,0.0,0.0
0,2,4,0.0,0.0,0.0
0,2,5,0.0,0.0,0.0
0,3,1,0.0,0.15534353256225586,0.0
0,3,2,0.0,0.15502214431762695,0.0
0,3,3,0.0,0.15490198135375977,0.0
0,3,4,0.0,0.15212202072143555,0.0
0,3,5,0.0,0.1546788215637207,0.0
0,4,1,0.0,0.15176916122436523,0.0
0,4,2,0.0,0.15591096878051758,0.0
0,4,3,0.0,0.1518702507019043,0.0
0,4,4,0.0,0.15380048751831055,0.0
0,4,5,0.0,0.15525007247924805,0.0
0,13,1,0.0,0.12497663497924805,0.0
0,13,2,0.0,0.12498283386230469,0.0
0,13,3,0.0,0.12499237060546875,0.0
0,13,4,0.0,0.1248779296875,0.0
0,13,5,0.0,0.12457084655761719,0.0
1,0,1,0.0,0.12498283386230469,0.0
1,0,2,0.0,0.1248621940612793,0.0
1,0,3,0.0,0.12496137619018555,0.0
1,0,4,0.0,0.1249995231628418,0.0
1,0,5,0.0,0.12476921081542969,0.0
1,1,1,1.0,0.0,1.0000000000000002
1,1,2,1.0,0.0,1.0000000000000002
1,1,3,1.0,0.0,1.0000000000000002
1,1,4,1.0,0.0,1.0000000000000002
1,1,5,1.0,0.0,1.0000000000000002
1,2,1,0.0,0.124969482421875,0.0
1,2,2,0.0,0.12497663497924805,0.0
1,2,3,0.0,0.12499809265136719,0.0
1,2,4,0.0,0.1248779296875,0.0
1,2,5,0.0,0.125,0.0
1,5,1,0.0,0.0,0.0
1,5,2,0.0,0.0,0.0
1,5,3,0.0,0.0,0.0
