va,vb,ca,cb,n
13,2,0,2,1255
13,3,2,3,621
13,3,2,0,574
13,3,1,0,611
13,3,0,1,640
13,3,3,2,608
13,3,3,0,1300
13,3,3,1,645
13,3,1,3,676
13,3,2,1,1228
13,3,1,2,1235
13,3,0,3,1251
13,3,0,2,611
13,4,0,1,664
13,4,1,0,579
13,4,1,3,599
13,4,2,1,1288
13,4,2,3,692
13,4,2,0,624
13,4,3,2,604
13,4,3,1,627
13,4,3,0,1241
13,4,0,2,638
13,4,0,3,1219
13,4,1,2,1225
13,5,2,3,2496
13,5,1,0,2470
13,5,3,2,2555
13,5,0,1,2479
13,6,3,1,2464
13,6,2,0,2499
13,6,0,2,2519
13,6,1,3,2518
13,7,0,1,587
13,7,2,3,599
13,7,1,0,597
13,7,3,1,578
13,7,3,2,638
13,7,3,0,1353
13,7,2,1,1217
13,7,1,3,642
13,7,0,2,652
13,7,0,3,1240
13,7,1,2,1287
13,7,2,0,610
13,8,0,1,646
13,8,1,0,598
13,8,2,0,591
13,8,3,2,605
13,8,3,1,634
13,8,3,0,1281
13,8,0,2,634
13,8,0,3,1203
13,8,1,2,1284
13,8,1,3,613
13,8,2,1,1250
13,8,2,3,661
13,9,1,0,1646
13,9,2,3,1727
13,9,0,3,821
13,9,1,2,854
13,9,2,1,853
13,9,0,1,1610
13,9,3,2,1707
13,9,3,0,782
13,10,0,3,853
13,10,1,2,909
13,10,3,0,827
13,10,3,2,1642
13,10,2,3,1603
13,10,2,1,821
13,10,0,1,1719
13,10,1,0,1626
13,11,3,0,811
13,11,3,1,1624
13,11,2,0,1688
13,11,0,3,854
13,11,0,2,1696
13,11,1,2,817
13,11,1,3,1695
13,11,2,1,815
13,12,2,0,1634
13,12,2,1,860
13,12,1,3,1679
13,12,3,0,813
13,12,3,1,1632
13,12,1,2,883
13,12,0,2,1619
13,12,0,3,880
1,0,1,3,1223
1,0,0,2,1235
1,0,2,3,1306
1,0,1,0,1224
1,0,0,1,1251
1,0,3,1,1202
1,0,3,2,1312
1,0,2,0,1247
2,0,2,1,2499
2,0,3,0,2477
2,0,0,3,2466
2,0,1,2,2558
4,0,2,0,597
4,0,2,3,632
4,0,0,1,605
4,0,1,0,629
4,0,1,3,627
4,0,2,1,1227
4,0,3,1,647
4,0,3,0,1223
4,0,3,2,651
4,0,1,2,1312
4,0,0,2,612
4,0,0,3,1238
3,0,2,3,610
3,0,2,0,615
3,0,0,1,643
3,0,1,0,636
3,0,2,1,1245
3,0,1,3,640
3,0,0,2,611
3,0,1,2,1235
3,0,0,3,1193
3,0,3,1,641
3,0,3,0,1286
3,0,3,2,645
2,1,2,3,1266
2,1,1,3,1318
2,1,0,1,1257
2,1,1,0,1218
2,1,3,2,1258
2,1,3,1,1225
2,1,0,2,1190
2,1,2,0,1268
5,1,2,0,2484
5,1,1,3,2509
5,1,0,2,2546
5,1,3,1,2461
6,1,3,2,2567
6,1,2,3,2452
6,1,1,0,2541
6,1,0,1,2440
7,2,0,1,594
7,2,1,0,619
7,2,1,2,1295
7,2,0,3,1199
7,2,0,2,635
7,2,2,3,623
7,2,1,3,629
7,2,2,1,1231
7,2,3,2,672
7,2,3,0,1219
7,2,3,1,645
