va,vb,ca,cb,win,n,job,backend,shots
3,3,1,3,0,38,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
3,3,2,3,0,41,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
3,3,3,3,1,139,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
4,4,0,0,1,165,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
4,4,1,0,0,20,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
4,4,2,0,0,42,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
4,4,3,0,0,16,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
4,4,0,1,0,29,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
4,4,1,1,1,188,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
4,4,2,1,0,35,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
4,4,3,1,0,19,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
4,4,0,2,0,43,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
4,4,1,2,0,35,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
4,4,2,2,1,167,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
4,4,3,2,0,17,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
4,4,0,3,0,25,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
4,4,1,3,0,22,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
4,4,2,3,0,40,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
4,4,3,3,1,161,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
5,5,0,0,1,173,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
5,5,1,0,0,52,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
5,5,2,0,0,23,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
5,5,3,0,0,16,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
5,5,0,1,0,47,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
5,5,1,1,1,142,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
5,5,2,1,0,20,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
5,5,3,1,0,25,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
5,5,0,2,0,38,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
5,5,1,2,0,21,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
5,5,2,2,1,133,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
5,5,3,2,0,49,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
5,5,0,3,0,39,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
5,5,1,3,0,34,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
5,5,2,3,0,32,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
5,5,3,3,1,180,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
6,6,0,0,1,159,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
6,6,1,0,0,39,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
6,6,2,0,0,33,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
6,6,3,0,0,22,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
6,6,0,1,0,42,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
6,6,1,1,1,186,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
6,6,2,1,0,11,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
6,6,3,1,0,52,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
6,6,0,2,0,33,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
6,6,1,2,0,17,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
6,6,2,2,1,139,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
6,6,3,2,0,39,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
6,6,0,3,0,15,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
6,6,1,3,0,37,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
6,6,2,3,0,57,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
6,6,3,3,1,143,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
7,7,0,0,1,187,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
7,7,1,0,0,25,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
7,7,2,0,0,34,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
7,7,3,0,0,28,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
7,7,0,1,0,31,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
7,7,1,1,1,171,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
7,7,2,1,0,29,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
7,7,3,1,0,47,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
7,7,0,2,0,24,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
7,7,1,2,0,19,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
7,7,2,2,1,143,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
7,7,3,2,0,44,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
7,7,0,3,0,26,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
7,7,1,3,0,33,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
7,7,2,3,0,38,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
7,7,3,3,1,145,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
8,8,0,0,1,176,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
8,8,1,0,0,30,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
8,8,2,0,0,31,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
8,8,3,0,0,27,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
8,8,0,1,0,36,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
8,8,1,1,1,142,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
8,8,2,1,0,22,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
8,8,3,1,0,53,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
8,8,0,2,0,27,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
8,8,1,2,0,14,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
8,8,2,2,1,166,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
8,8,3,2,0,41,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
8,8,0,3,0,18,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
8,8,1,3,0,36,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
8,8,2,3,0,33,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
8,8,3,3,1,172,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
9,9,0,0,1,196,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
9,9,1,0,0,27,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
9,9,2,0,0,30,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
9,9,3,0,0,19,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
9,9,0,1,0,34,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
9,9,1,1,1,145,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
9,9,2,1,0,30,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
9,9,3,1,0,31,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
9,9,0,2,0,28,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
9,9,1,2,0,31,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
9,9,2,2,1,142,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
9,9,3,2,0,42,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
9,9,0,3,0,30,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
9,9,1,3,0,30,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
9,9,2,3,0,55,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
9,9,3,3,1,154,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
10,10,0,0,1,138,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
10,10,1,0,0,37,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
10,10,2,0,0,34,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
10,10,3,0,0,38,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
10,10,0,1,0,39,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
10,10,1,1,1,140,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
10,10,2,1,0,22,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
10,10,3,1,0,31,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
10,10,0,2,0,35,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
