va,vb,ca,cb,n
3,4,0,0,7
3,4,1,1,118
3,4,1,2,1
3,4,3,3,24
3,4,1,0,6
3,4,2,2,137
3,4,0,2,34
3,4,2,1,15
3,10,0,1,3
3,10,0,3,2
3,10,1,3,2
3,10,3,1,542
3,10,3,0,42
3,10,3,2,3
3,10,2,3,9
3,10,2,0,79
3,10,0,0,7
3,10,1,1,118
3,10,1,2,1
3,10,3,3,24
3,10,1,0,6
3,10,2,2,137
3,10,0,2,34
3,10,2,1,15
3,11,3,3,1
3,11,3,2,95
3,11,3,0,468
3,11,3,1,57
3,11,1,0,71
3,11,0,3,42
3,11,2,3,169
3,11,1,2,23
3,11,1,1,6
3,11,2,0,38
3,11,0,0,2
3,11,0,2,1
3,11,2,1,42
3,11,0,1,6
3,11,2,2,3
4,12,1,0,32
4,12,0,3,9
4,12,1,2,18
4,12,1,3,103
4,12,2,0,2
4,12,0,0,671
4,12,1,1,158
4,12,0,1,31
4,9,0,0,21
4,9,1,1,192
4,9,0,1,10
4,9,1,3,86
4,9,1,0,9
4,9,0,3,40
4,9,1,2,27
4,9,0,2,639
5,6,0,1,1
5,6,2,2,7
5,6,1,0,2
5,6,3,3,7
5,6,2,0,18
5,6,2,3,151
5,6,3,2,47
5,6,3,0,647
5,6,3,1,47
5,6,2,1,97
5,11,3,3,1
5,11,1,0,2
5,11,2,2,3
5,11,2,1,46
5,11,2,0,22
5,11,2,3,211
5,11,3,1,65
5,11,3,0,555
5,11,3,2,119
5,12,2,0,11
5,12,2,2,18
5,12,2,3,98
5,12,1,0,2
5,12,3,3,14
5,12,3,1,39
5,12,3,0,692
5,12,2,1,150
6,9,1,1,4
6,9,0,0,4
6,9,0,1,198
6,9,1,3,37
6,9,1,0,26
6,9,0,3,89
6,9,0,2,26
6,9,1,2,640
6,10,1,0,51
6,10,0,1,39
6,10,1,3,32
6,10,0,3,5
6,10,1,2,4
6,10,0,2,171
6,10,0,0,83
6,10,1,1,639
7,8,0,1,5
7,8,1,0,9
7,8,3,1,511
7,8,3,0,39
7,8,3,2,3
7,8,1,2,1
7,8,1,1,143
7,8,2,3,10
7,8,2,0,75
7,8,0,0,11
7,8,0,3,2
7,8,3,3,22
7,8,0,2,42
7,8,2,1,19
7,8,1,3,3
7,8,2,2,129
7,10,0,1,5
7,10,1,0,9
7,10,3,1,511
7,10,3,0,39
7,10,3,2,3
7,10,1,2,1
7,10,1,1,143
7,10,2,3,10
7,10,2,0,75
7,10,0,0,11
7,10,0,3,2
7,10,3,3,22
7,10,0,2,42
7,10,2,1,19
7,10,1,3,3
7,10,2,2,129
7,12,0,0,2
7,12,0,1,28
