seed,iter,energy,mutual_information,adapt_pool_gradmax
59877380,0,-0.7138162075708215,1.92205590228895e-15,0.0
59877380,1,-0.9578576081695553,2.936974802050237,6.512148511411686e-09
59877380,2,-0.9661239059561127,1.9630503723539054,3.5279656973585816e-09
59877380,3,-0.9695207281869374,1.36893969856597,4.825041852174472e-09
59877380,4,-0.9735449091959749,0.8148548188477167,4.523452307170217e-10
59877380,5,-0.977272694990709,4.438546612244197e-08,1.1622744156003506e-09
59877380,6,-0.9772726968376493,7.24405582087913e-12,6.276483330650615e-09
223066125,0,-0.7381848936816626,1.92205590228895e-15,0.0
223066125,1,-0.9799234238835988,3.3663365024087124,6.875612745815829e-09
223066125,2,-0.9921129500749619,3.999258133045779,4.7129176226747905e-07
223066125,3,-0.992122497070512,3.9999999839432805,1.3029577178646782e-07
223066125,4,-0.9921224971156964,3.9999999897586775,1.0767502633532224e-07
167651350,0,-0.7115573042261573,1.92205590228895e-15,0.0
167651350,1,-0.9857354052816978,3.795116997819681,4.566599084987466e-09
167651350,2,-0.9921148449531731,3.999807699310686,4.258970194281359e-07
167651350,3,-0.9921224910618351,3.999999596452124,7.649140656237836e-07
167651350,4,-0.9921225136329743,3.9999999974744442,9.64771151386528e-07
225898519,0,-0.6847958054448675,1.92205590228895e-15,0.0
225898519,1,-0.9626894318535102,2.6730991718239787,3.381374666378001e-09
225898519,2,-0.9837160353293664,2.4413198939941942,2.9166851434059282e-09
225898519,3,-0.9921224899896915,2.066827580351702,3.822730187952317e-09
225898519,4,-0.9921225053486974,3.9999999996414193,8.846816661004838e-07
85874720,0,-0.7481425421927007,1.92205590228895e-15,0.0
85874720,1,-0.9795957943236564,3.8802930926956867,2.6555831977859157e-09
85874720,2,-0.9920329776343079,3.995758074081457,4.437910733018456e-09
85874720,3,-0.9921224773091137,3.999999874738945,6.78344889148974e-08
85874720,4,-0.9921224879140054,3.9999999997836184,4.864575543981476e-08
89002023,0,-0.6963777369757393,1.92205590228895e-15,0.0
89002023,1,-0.9732199004649784,3.1415044514837045,1.7090084694637575e-09
89002023,2,-0.980743913366547,3.1861407413155085,1.1334007742752616e-09
89002023,3,-0.990415953966132,2.6604994998050486,4.091772143333117e-09
89002023,4,-0.9921024389486002,2.000116159369987,9.218770292947556e-07
89002023,5,-0.9921072600194513,2.000010691649483,3.644258828638994e-07
89002023,6,-0.9921092605925697,2.0000075828071218,2.6756060732789633e-07
89002023,7,-0.9921109897729823,2.00000589415127,1.957297167062673e-07
89002023,8,-0.9921124710145124,2.0000045338405923,1.5545459846380185e-07
89002023,9,-0.9921137705121181,2.000003437776554,8.427949539646651e-07
89002023,10,-0.9921148849736788,2.0000027013474386,6.902229108263214e-07
89002023,11,-0.9921158575478399,2.0000020897780124,5.630982533033624e-07
188104747,0,-0.7162948381318457,1.92205590228895e-15,0.0
188104747,1,-0.975340100783683,3.813002447868076,2.2723289638815203e-09
188104747,2,-0.9920214470107157,3.986455494593336,8.221510278128008e-09
188104747,3,-0.9921225006692325,3.9850091648152173,6.778171682906967e-08
188104747,4,-0.992122505888138,3.999999999420501,8.718020039427732e-08
145420333,0,-0.7189396654229537,1.92205590228895e-15,0.0
145420333,1,-0.9778454661641731,3.704763553568805,2.915494776156713e-09
145420333,2,-0.9921204127675719,3.9723794952045903,9.609243965423217e-09
145420333,3,-0.9921225054357732,2.0062774381189428,6.42711524383166e-07
145420333,4,-0.9921225063747161,2.006282102193376,2.1702663341449657e-07
98199598,0,-0.6965311881010176,1.92205590228895e-15,0.0
98199598,1,-0.9791710368108227,3.5419959074328213,1.3339182258764737e-09
98199598,2,-0.9914246031120748,3.985990932010501,4.083265817082099e-07
98199598,3,-0.9921219263062628,3.999617711935822,5.589617671956324e-07
98199598,4,-0.9921225126420313,2.0000000000019327,1.9791287464432372e-07
107104306,0,-0.7166954078595303,1.92205590228895e-15,0.0
107104306,1,-0.9866732086548053,3.772021292194686,4.586858112082259e-09
107104306,2,-0.9920807618517699,3.756266740680336,3.911482521559706e-09
107104306,3,-0.9921224969806951,3.999999989202757,3.253724469929743e-07
107104306,4,-0.9921224972820202,3.9999999867243394,4.918839008599929e-07
82167869,0,-0.7425302094321401,1.92205590228895e-15,0.0
82167869,1,-0.9631540523566464,3.731493018190636,3.83584337904086e-09
82167869,2,-0.9919325129978049,3.9954919435129814,3.0108143825313682e-09
82167869,3,-0.9921223055205257,3.9999976814325766,4.113175679524103e-08
82167869,4,-0.9921224860337388,3.999999990849666,4.8630518612036155e-08
138577986,0,-0.7075327009118672,1.92205590228895e-15,0.0
138577986,1,-0.982074130148801,3.600330268558478,6.59975217445069e-09
138577986,2,-0.9918865857733182,3.713993866745085,6.838660475343259e-07
138577986,3,-0.9921224807671998,3.999951920434426,4.883220794749468e-07
138577986,4,-0.9921225011847195,3.9999999998332356,3.9429851173000685e-07
216531011,0,-0.693394928337142,1.92205590228895e-15,0.0
216531011,1,-0.9741881143986202,2.749115768293194,3.109328905459563e-09
216531011,2,-0.9912973900049487,3.7272371370587725,1.0374115039235576e-09
